,EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,time_placed,symbol,quantity,side,order_id,fill_price,tag,limit_price,is_hidden,is_price_to_comply,insert_by_id,is_post_only,order_fee,ABM,SubmittedOrders,PaidFees,spread,speed_of_fills
7,0,ORDER_EXECUTED,,1,NoiseAgent,,2021-02-05 09:23:22,ABM,4.0,Side.ASK,478.0,99981.0,,99981.0,False,False,False,False,0.0,,,,,0
10,0,ORDER_EXECUTED,,1,NoiseAgent,,2021-02-05 09:23:22,ABM,96.0,Side.ASK,478.0,99981.0,,99981.0,False,False,False,False,0.0,,,,,0
7,0,ORDER_EXECUTED,,4,NoiseAgent,,2021-02-05 09:39:31,ABM,87.0,Side.BID,901.0,99928.0,,99928.0,False,False,False,False,0.0,,,,,0
10,1612517972306109034,ORDER_EXECUTED,,4,NoiseAgent,,2021-02-05 09:39:31,ABM,13.0,Side.BID,901.0,99928.0,,99928.0,False,False,False,False,0.0,,,,,1612517972306109034
7,0,ORDER_EXECUTED,,11,NoiseAgent,,2021-02-05 09:48:14,ABM,100.0,Side.ASK,1244.0,99894.0,,99894.0,False,False,False,False,0.0,,,,,0
7,0,ORDER_EXECUTED,,12,NoiseAgent,,2021-02-05 09:55:35,ABM,100.0,Side.ASK,1420.0,99875.0,,99875.0,False,False,False,False,0.0,,,,,0
7,0,ORDER_EXECUTED,,34,NoiseAgent,,2021-02-05 09:20:04,ABM,6.0,Side.BID,400.0,99986.0,,99986.0,False,False,False,False,0.0,,,,,0
7,0,ORDER_EXECUTED,,38,NoiseAgent,,2021-02-05 09:23:02,ABM,10.0,Side.ASK,473.0,99983.0,,99983.0,False,False,False,False,1190.0,,,,,0
9,0,ORDER_EXECUTED,,38,NoiseAgent,,2021-02-05 09:23:02,ABM,24.0,Side.ASK,473.0,99983.0,,99983.0,False,False,False,False,1190.0,,,,,0
11,0,ORDER_EXECUTED,,38,NoiseAgent,,2021-02-05 09:23:02,ABM,100.0,Side.ASK,473.0,99983.0,,99983.0,False,False,False,False,1190.0,,,,,0
14,1612516990202499341,ORDER_EXECUTED,,38,NoiseAgent,,2021-02-05 09:23:02,ABM,66.0,Side.ASK,473.0,99983.0,,99983.0,False,False,False,False,1190.0,,,,,1612516990202499341
7,0,ORDER_EXECUTED,,43,NoiseAgent,,2021-02-05 09:03:14,ABM,41.0,Side.ASK,51.0,99991.0,,99991.0,False,False,False,False,0.0,,,,,0
10,1612515802572127829,ORDER_EXECUTED,,43,NoiseAgent,,2021-02-05 09:03:14,ABM,59.0,Side.ASK,51.0,99991.0,,99991.0,False,False,False,False,0.0,,,,,1612515802572127829
7,0,ORDER_EXECUTED,,48,NoiseAgent,,2021-02-05 09:30:56,ABM,67.0,Side.ASK,637.0,99982.0,,99982.0,False,False,False,False,0.0,,,,,0
10,0,ORDER_EXECUTED,,48,NoiseAgent,,2021-02-05 09:30:56,ABM,33.0,Side.ASK,637.0,99982.0,,99982.0,False,False,False,False,0.0,,,,,0
7,0,ORDER_EXECUTED,,63,NoiseAgent,,2021-02-05 09:13:10,ABM,94.0,Side.ASK,257.0,99993.0,,99993.0,False,False,False,False,0.0,,,,,0
9,0,ORDER_EXECUTED,,63,NoiseAgent,,2021-02-05 09:13:10,ABM,6.0,Side.ASK,257.0,99993.0,,99993.0,False,False,False,False,0.0,,,,,0
7,0,ORDER_EXECUTED,,66,NoiseAgent,,2021-02-05 09:09:23,ABM,8.0,Side.BID,171.0,100018.0,,100018.0,False,False,False,False,0.0,,,,,0
10,1612516164308971710,ORDER_EXECUTED,,66,NoiseAgent,,2021-02-05 09:09:23,ABM,92.0,Side.BID,171.0,100018.0,,100018.0,False,False,False,False,0.0,,,,,1612516164308971710
