,index,EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,time_placed,symbol,quantity,side,order_id,fill_price,tag,limit_price,is_hidden,is_price_to_comply,insert_by_id,is_post_only,order_fee,time_executed,ABM,SubmittedOrders,PaidFees,spread,placed_quantity,speed_of_fill,fill_rate
0,10,0,ORDER_EXECUTED,,1,NoiseAgent,,1.6125170029772856e+18,ABM,96.0,Side.ASK,478.0,99981.0,,99981.0,False,False,False,False,0.0,1.6125170687973524e+18,,,,,100.0,65820.066816,96.0
1,10,1612517972306109034,ORDER_EXECUTED,,4,NoiseAgent,,1.612517971444189e+18,ABM,13.0,Side.BID,901.0,99928.0,,99928.0,False,False,False,False,0.0,1.612517972306109e+18,,,,,100.0,861.92,13.0
2,7,0,ORDER_EXECUTED,,11,NoiseAgent,,1.6125184947402557e+18,ABM,100.0,Side.ASK,1244.0,99894.0,,99894.0,False,False,False,False,0.0,1.61251849475076e+18,,,,,100.0,10.504192,100.0
3,7,0,ORDER_EXECUTED,,12,NoiseAgent,,1.6125189354566592e+18,ABM,100.0,Side.ASK,1420.0,99875.0,,99875.0,False,False,False,False,0.0,1.6125189354625052e+18,,,,,100.0,5.846016,100.0
4,7,0,ORDER_EXECUTED,,34,NoiseAgent,,1.6125168047990874e+18,ABM,6.0,Side.BID,400.0,99986.0,,99986.0,False,False,False,False,0.0,1.6125168048027226e+18,,,,,6.0,3.6352,100.0
5,14,1612516990202499341,ORDER_EXECUTED,,38,NoiseAgent,,1.6125169826325806e+18,ABM,66.0,Side.ASK,473.0,99983.0,,99983.0,False,False,False,False,1190.0,1.6125169902024993e+18,,,,,200.0,7569.91872,33.0
6,10,1612515802572127829,ORDER_EXECUTED,,43,NoiseAgent,,1.612515794054729e+18,ABM,59.0,Side.ASK,51.0,99991.0,,99991.0,False,False,False,False,0.0,1.6125158025721277e+18,,,,,100.0,8517.398784,59.0
7,10,0,ORDER_EXECUTED,,48,NoiseAgent,,1.6125174564378918e+18,ABM,33.0,Side.ASK,637.0,99982.0,,99982.0,False,False,False,False,0.0,1.6125176033939126e+18,,,,,100.0,146956.020736,33.0
8,9,0,ORDER_EXECUTED,,63,NoiseAgent,,1.6125163907177766e+18,ABM,6.0,Side.ASK,257.0,99993.0,,99993.0,False,False,False,False,0.0,1.6125163907275758e+18,,,,,100.0,9.799168,6.0
9,10,1612516164308971710,ORDER_EXECUTED,,66,NoiseAgent,,1.612516163981864e+18,ABM,92.0,Side.BID,171.0,100018.0,,100018.0,False,False,False,False,0.0,1.6125161643089718e+18,,,,,100.0,327.10784,92.0
10,10,1612519158320777294,ORDER_EXECUTED,,73,NoiseAgent,,1.6125191544543626e+18,ABM,68.0,Side.BID,1529.0,99900.0,,99900.0,False,False,False,False,0.0,1.6125191583207772e+18,,,,,100.0,3866.414592,68.0
11,7,0,ORDER_EXECUTED,,74,NoiseAgent,,1.6125162037136102e+18,ABM,100.0,Side.BID,191.0,99995.0,,99995.0,False,False,False,False,0.0,1.6125162037245164e+18,,,,,100.0,10.906112,100.0
