,EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,time_placed,symbol,quantity,side,order_id,fill_price,tag,limit_price,is_hidden,is_price_to_comply,insert_by_id,is_post_only,ABM,cash,holdings,mark_to_marked_holdings,total_depot_value,profit
160,1612519115086896543,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 09:58:35,ABM,100.0,Side.ASK,18154.0,99979.0,,99979.0,False,False,False,False,,,,,,
173,1612519121066216252,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 09:58:41,ABM,100.0,Side.ASK,18158.0,99978.0,,99978.0,False,False,False,False,,,,,,
186,1612519137731779404,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 09:58:57,ABM,96.0,Side.ASK,18173.0,99981.0,,99981.0,False,False,False,False,,,,,,
196,1612519140515276710,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 09:58:57,ABM,4.0,Side.ASK,18173.0,99981.0,,99981.0,False,False,False,False,,,,,,
209,1612519144890073822,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 09:59:04,ABM,30.0,Side.ASK,18180.0,99980.0,,99980.0,False,False,False,False,,,,,,
222,1612519249993010164,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:00:49,ABM,36.0,Side.ASK,18343.0,99969.0,,99969.0,False,False,False,False,,,,,,
231,1612519249993010214,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:00:49,ABM,17.0,Side.ASK,18343.0,99969.0,,99969.0,False,False,False,False,,,,,,
240,1612519249993010264,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:00:49,ABM,47.0,Side.ASK,18343.0,99969.0,,99969.0,False,False,False,False,,,,,,
253,1612519293026966261,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:01:33,ABM,11.0,Side.ASK,18430.0,99973.0,,99973.0,False,False,False,False,,,,,,
266,1612519310216350773,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:01:50,ABM,50.0,Side.ASK,18448.0,99972.0,,99972.0,False,False,False,False,,,,,,
275,1612519310216350823,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:01:50,ABM,2.0,Side.ASK,18448.0,99972.0,,99972.0,False,False,False,False,,,,,,
285,1612519310224673743,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:01:50,ABM,58.0,Side.ASK,18448.0,99972.0,,99972.0,False,False,False,False,,,,,,
294,1612519311056988335,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:01:50,ABM,26.0,Side.ASK,18448.0,99972.0,,99972.0,False,False,False,False,,,,,,
307,1612519361833428359,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:02:41,ABM,14.0,Side.ASK,18534.0,99971.0,,99971.0,False,False,False,False,,,,,,
