,EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,time_placed,symbol,quantity,side,order_id,fill_price,tag,limit_price,is_hidden,is_price_to_comply,insert_by_id,is_post_only,fee,ABM
161,1612519243747518779,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:00:43,ABM,68.0,Side.ASK,1194.0,99984.0,,99984.0,False,False,False,False,,
165,1612519248712232237,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:00:43,ABM,32.0,Side.ASK,1194.0,99984.0,,99984.0,False,False,False,False,,
172,1612519256949654597,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:00:56,ABM,100.0,Side.ASK,1206.0,99986.0,,99986.0,False,False,False,False,,
179,1612519258118609740,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:00:58,ABM,68.0,Side.ASK,1207.0,99984.0,,99984.0,False,False,False,False,,
182,1612519258118609790,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:00:58,ABM,32.0,Side.ASK,1207.0,99984.0,,99984.0,False,False,False,False,,
189,1612519267615454149,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:01:07,ABM,4.0,Side.ASK,1211.0,99984.0,,99984.0,False,False,False,False,,
196,1612519329337579359,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:02:09,ABM,49.0,Side.ASK,1253.0,99984.0,,99984.0,False,False,False,False,,
199,1612519329337579409,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:02:09,ABM,4.0,Side.ASK,1253.0,99984.0,,99984.0,False,False,False,False,,
202,1612519329337579459,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:02:09,ABM,100.0,Side.ASK,1253.0,99984.0,,99984.0,False,False,False,False,,
205,1612519329337579509,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:02:09,ABM,47.0,Side.ASK,1253.0,99984.0,,99984.0,False,False,False,False,,
212,1612519408297395264,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:03:28,ABM,40.0,Side.ASK,1314.0,99976.0,,99976.0,False,False,False,False,,
223,1612519476182417558,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:04:36,ABM,100.0,Side.ASK,1364.0,99960.0,,99960.0,False,False,False,False,,
226,1612519476182417608,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:04:36,ABM,1.0,Side.ASK,1364.0,99960.0,,99960.0,False,False,False,False,,
230,1612519477157050408,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:04:36,ABM,200.0,Side.ASK,1364.0,99960.0,,99960.0,False,False,False,False,,
237,1612519477419164525,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:04:37,ABM,100.0,Side.ASK,1366.0,99958.0,,99958.0,False,False,False,False,,
240,1612519477419164575,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:04:37,ABM,100.0,Side.ASK,1366.0,99958.0,,99958.0,False,False,False,False,,
243,1612519481778711534,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:04:36,ABM,99.0,Side.ASK,1364.0,99960.0,,99960.0,False,False,False,False,,
250,1612519483350464381,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:04:43,ABM,100.0,Side.ASK,1375.0,99965.0,,99965.0,False,False,False,False,,
254,0,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:04:43,ABM,16.0,Side.ASK,1375.0,99965.0,,99965.0,False,False,False,False,,
257,0,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:03:28,ABM,60.0,Side.ASK,1314.0,99976.0,,99976.0,False,False,False,False,,
264,1612519543406649116,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:05:43,ABM,2.0,Side.ASK,1421.0,99978.0,,99978.0,False,False,False,False,,
271,1612519585898560608,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:06:25,ABM,100.0,Side.ASK,1455.0,99978.0,,99978.0,False,False,False,False,,
278,1612519609849571739,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:06:49,ABM,28.0,Side.ASK,1483.0,99973.0,,99973.0,False,False,False,False,,
281,1612519609849571789,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:06:49,ABM,72.0,Side.ASK,1483.0,99973.0,,99973.0,False,False,False,False,,
288,1612519621429611146,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:07:01,ABM,19.0,Side.ASK,1497.0,99980.0,,99980.0,False,False,False,False,,
291,1612519621429611196,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:07:01,ABM,7.0,Side.ASK,1497.0,99980.0,,99980.0,False,False,False,False,,
298,1612519696730272532,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:08:16,ABM,100.0,Side.ASK,1567.0,99988.0,,99988.0,False,False,False,False,,
305,1612519703135592136,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:08:23,ABM,100.0,Side.ASK,1573.0,99985.0,,99985.0,False,False,False,False,,
312,1612519721379867227,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:08:41,ABM,8.0,Side.ASK,1584.0,99987.0,,99987.0,False,False,False,False,,
319,1612519733698837786,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:08:53,ABM,89.0,Side.ASK,1595.0,100004.0,,100004.0,False,False,False,False,,
323,1612519738951592311,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:08:53,ABM,100.0,Side.ASK,1595.0,100004.0,,100004.0,False,False,False,False,,
326,1612519741202675680,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:08:53,ABM,11.0,Side.ASK,1595.0,100004.0,,100004.0,False,False,False,False,,
