,EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,time_placed,symbol,quantity,side,order_id,fill_price,tag,limit_price,is_hidden,is_price_to_comply,insert_by_id,is_post_only,fee,ABM
2,1612483200000000000,HOLDINGS_UPDATED,,1,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000007792820,ENDING_CASH,10000000,1,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,2,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000001217832,ENDING_CASH,10000000,2,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,3,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000007249664,ENDING_CASH,10000000,3,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,4,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000007471298,ENDING_CASH,10000000,4,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,5,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,5,NoiseAgent,17600836.0,,,,,,,,,,,,,,-76.0
12,0,HOLDINGS_UPDATED,,5,NoiseAgent,27601936.0,,,,,,,,,,,,,,-176.0
15,0,HOLDINGS_UPDATED,,5,NoiseAgent,29502145.0,,,,,,,,,,,,,,-195.0
18,0,HOLDINGS_UPDATED,,5,NoiseAgent,30002200.0,,,,,,,,,,,,,,-200.0
23,1612530000005491731,ENDING_CASH,10001000,5,NoiseAgent,10001000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,6,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,6,NoiseAgent,3997240.0,,,,,,,,,,,,,,60.0
13,1612520992100548680,HOLDINGS_UPDATED,,6,NoiseAgent,-4600.0,,,,,,,,,,,,,,100.0
18,1612530000002807967,ENDING_CASH,9996000,6,NoiseAgent,9996000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,7,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000002116615,ENDING_CASH,10000000,7,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,8,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,1612530000005511296,ENDING_CASH,10000000,8,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,9,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,9,NoiseAgent,10200034.0,,,,,,,,,,,,,,-2.0
13,0,HOLDINGS_UPDATED,,9,NoiseAgent,14500765.0,,,,,,,,,,,,,,-45.0
18,1612530000004085404,ENDING_CASH,10000495,9,NoiseAgent,10000495.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,10,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,10,NoiseAgent,4798128.0,,,,,,,,,,,,,,52.0
14,1612530000004351950,ENDING_CASH,9998440,10,NoiseAgent,9998440.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,11,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000000398761,ENDING_CASH,10000000,11,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,12,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,1612530000005191553,ENDING_CASH,10000000,12,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,13,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000002846842,ENDING_CASH,10000000,13,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,14,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000002086886,ENDING_CASH,10000000,14,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,15,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,15,NoiseAgent,1004320.0,,,,,,,,,,,,,,90.0
13,1612522491111134571,HOLDINGS_UPDATED,,15,NoiseAgent,4800.0,,,,,,,,,,,,,,100.0
18,1612530000000474600,ENDING_CASH,10005400,15,NoiseAgent,10005400.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,16,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000001971056,ENDING_CASH,10000000,16,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,17,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000001979438,ENDING_CASH,10000000,17,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,18,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000000584579,ENDING_CASH,10000000,18,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,19,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000005268357,ENDING_CASH,10000000,19,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,20,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000003177645,ENDING_CASH,10000000,20,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,21,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,21,NoiseAgent,11099186.0,,,,,,,,,,,,,,-11.0
13,1612523248633836339,HOLDINGS_UPDATED,,21,NoiseAgent,19992600.0,,,,,,,,,,,,,,-100.0
18,1612530000007073957,ENDING_CASH,9992000,21,NoiseAgent,9992000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,22,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000000621648,ENDING_CASH,10000000,22,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,23,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,23,NoiseAgent,8299507.0,,,,,,,,,,,,,,17.0
14,1612530000002161211,ENDING_CASH,9999609,23,NoiseAgent,9999609.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,24,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000002852006,ENDING_CASH,10000000,24,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,25,NoiseAgent,10000000.0,,,,,,,,,,,,,,
