,EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,time_placed,symbol,quantity,side,order_id,fill_price,tag,limit_price,is_hidden,is_price_to_comply,insert_by_id,is_post_only,fee,ABM
0,0,AGENT_TYPE,NoiseAgent,1,NoiseAgent,,,,,,,,,,,,,,,
1,0,STARTING_CASH,10000000,1,NoiseAgent,,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,1,NoiseAgent,10000000.0,,,,,,,,,,,,,,
3,1612530000007792820,FINAL_HOLDINGS,{ CASH: 10000000 },1,NoiseAgent,,,,,,,,,,,,,,,
4,1612530000007792820,FINAL_CASH_POSITION,10000000,1,NoiseAgent,,,,,,,,,,,,,,,
5,1612530000007792820,MARKED_TO_MARKET,10000000,1,NoiseAgent,,,,,,,,,,,,,,,
6,1612530000007792820,ENDING_CASH,10000000,1,NoiseAgent,10000000.0,,,,,,,,,,,,,,
7,1612530000007792820,FINAL_VALUATION,10000000,1,NoiseAgent,,,,,,,,,,,,,,,
0,0,AGENT_TYPE,NoiseAgent,2,NoiseAgent,,,,,,,,,,,,,,,
1,0,STARTING_CASH,10000000,2,NoiseAgent,,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,2,NoiseAgent,10000000.0,,,,,,,,,,,,,,
3,1612530000001217832,FINAL_HOLDINGS,{ CASH: 10000000 },2,NoiseAgent,,,,,,,,,,,,,,,
4,1612530000001217832,FINAL_CASH_POSITION,10000000,2,NoiseAgent,,,,,,,,,,,,,,,
5,1612530000001217832,MARKED_TO_MARKET,10000000,2,NoiseAgent,,,,,,,,,,,,,,,
6,1612530000001217832,ENDING_CASH,10000000,2,NoiseAgent,10000000.0,,,,,,,,,,,,,,
7,1612530000001217832,FINAL_VALUATION,10000000,2,NoiseAgent,,,,,,,,,,,,,,,
0,0,AGENT_TYPE,NoiseAgent,3,NoiseAgent,,,,,,,,,,,,,,,
1,0,STARTING_CASH,10000000,3,NoiseAgent,,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,3,NoiseAgent,10000000.0,,,,,,,,,,,,,,
3,1612530000007249664,FINAL_HOLDINGS,{ CASH: 10000000 },3,NoiseAgent,,,,,,,,,,,,,,,
4,1612530000007249664,FINAL_CASH_POSITION,10000000,3,NoiseAgent,,,,,,,,,,,,,,,
5,1612530000007249664,MARKED_TO_MARKET,10000000,3,NoiseAgent,,,,,,,,,,,,,,,
6,1612530000007249664,ENDING_CASH,10000000,3,NoiseAgent,10000000.0,,,,,,,,,,,,,,
7,1612530000007249664,FINAL_VALUATION,10000000,3,NoiseAgent,,,,,,,,,,,,,,,
0,0,AGENT_TYPE,NoiseAgent,4,NoiseAgent,,,,,,,,,,,,,,,
1,0,STARTING_CASH,10000000,4,NoiseAgent,,,,,,,,,,,,,,,
