FundamentalTime,FundamentalValue
1612517400100000000,100000
1612517400200000000,100000
1612517400300000000,100000
1612517400400000000,100000
1612517400500000000,100000
1612517400600000000,100000
1612517400700000000,100000
1612517400800000000,100000
1612517400900000000,100000
1612517401000000000,100000
1612517401100000000,100000
1612517401200000000,100000
1612517401300000000,100000
1612517401400000000,100000
1612517401500000000,100000
1612517401600000000,100000
1612517401700000000,100000
1612517401800000000,100000
1612517401900000000,100000
1612517402000000000,100000
1612517402100000000,100000
1612517402200000000,100000
1612517402300000000,100000
1612517402400000000,100000
1612517402500000000,100000
1612517402600000000,100000
1612517402700000000,100000
1612517402800000000,100000
1612517402900000000,100000
1612517403000000000,100000
1612517403100000000,100000
1612517403200000000,100000
1612517403300000000,100000
1612517403400000000,100000
1612517403500000000,100000
1612517403600000000,100000
1612517403700000000,100000
1612517403800000000,100000
1612517403900000000,100000
1612517404000000000,100000
1612517404100000000,100000
1612517404200000000,100000
1612517404300000000,100000
1612517404400000000,100000
1612517404500000000,100000
1612517404600000000,100000
1612517404700000000,100000
1612517404800000000,100000
1612517404900000000,100000
1612517405000000000,100000
1612517405100000000,100000
1612517405200000000,100000
1612517405300000000,100000
1612517405400000000,100000
1612517405500000000,100000
1612517405600000000,100000
1612517405700000000,100000
1612517405800000000,100000
1612517405900000000,100000
1612517406000000000,100000
1612517406100000000,100000
1612517406200000000,100000
1612517406300000000,100000
1612517406400000000,100000
1612517406500000000,100000
1612517406600000000,100000
1612517406700000000,100000
1612517406800000000,100000
1612517406900000000,100000
1612517407000000000,100000
1612517407100000000,100000
1612517407200000000,100000
1612517407300000000,100000
1612517407400000000,100000
1612517407500000000,100000
1612517407600000000,100000
1612517407700000000,100000
1612517407800000000,100000
1612517407900000000,100000
1612517408000000000,100000
1612517408100000000,100000
1612517408200000000,100000
1612517408300000000,100000
1612517408400000000,100000
1612517408500000000,100000
1612517408600000000,100000
1612517408700000000,100000
1612517408800000000,100000
1612517408900000000,100000
1612517409000000000,100000
1612517409100000000,100000
1612517409200000000,100000
1612517409300000000,100000
1612517409400000000,100000
1612517409500000000,100000
1612517409600000000,100000
1612517409700000000,100000
1612517409800000000,100000
1612517409900000000,100000
1612517410000000000,100000
1612517410100000000,100000
1612517410200000000,100000
1612517410300000000,100000
1612517410400000000,100000
1612517410500000000,100000
1612517410600000000,100000
1612517410700000000,100000
1612517410800000000,100000
1612517410900000000,100000
1612517411000000000,100000
1612517411100000000,100000
1612517411200000000,100000
1612517411300000000,100000
1612517411400000000,100000
1612517411500000000,100000
1612517411600000000,100000
1612517411700000000,100000
1612517411800000000,100000
1612517411900000000,100000
1612517412000000000,100000
1612517412100000000,100000
1612517412200000000,100000
1612517412300000000,100000
1612517412400000000,100000
1612517412500000000,100000
1612517412600000000,100000
1612517412700000000,100000
1612517412800000000,100000
1612517412900000000,100000
1612517413000000000,100000
1612517413100000000,100000
1612517413200000000,100000
1612517413300000000,100000
1612517413400000000,100000
1612517413500000000,100000
1612517413600000000,100000
1612517413700000000,100000
1612517413800000000,100000
1612517413900000000,100000
1612517414000000000,100000
1612517414100000000,100000
1612517414200000000,100000
1612517414300000000,100000
1612517414400000000,100000
1612517414500000000,100000
1612517414600000000,100000
1612517414700000000,100000
1612517414800000000,100000
1612517414900000000,100000
1612517415000000000,100000
1612517415100000000,100000
1612517415200000000,100000
1612517415300000000,100000
1612517415400000000,100000
1612517415500000000,100000
1612517415600000000,100000
1612517415700000000,100000
1612517415800000000,100000
1612517415900000000,100000
1612517416000000000,100000
1612517416100000000,100000
1612517416200000000,100000
1612517416300000000,100000
1612517416400000000,100000
1612517416500000000,100000
1612517416600000000,100000
1612517416700000000,100000
1612517416800000000,100000
1612517416900000000,100000
1612517417000000000,100000
1612517417100000000,100000
1612517417200000000,100000
1612517417300000000,100000
1612517417400000000,100000
1612517417500000000,100000
1612517417600000000,100000
1612517417700000000,100000
1612517417800000000,100000
1612517417900000000,100000
1612517418000000000,100000
1612517418100000000,100000
1612517418200000000,100000
1612517418300000000,100000
1612517418400000000,100000
1612517418500000000,100000
1612517418600000000,100000
1612517418700000000,100000
1612517418800000000,100000
1612517418900000000,100000
1612517419000000000,100000
1612517419100000000,100000
1612517419200000000,100000
1612517419300000000,100000
1612517419400000000,100000
1612517419500000000,100000
1612517419600000000,100000
1612517419700000000,100000
1612517419800000000,100000
1612517419900000000,100000
1612517420000000000,100000
1612517420100000000,100000
1612517420200000000,100000
1612517420300000000,100000
1612517420400000000,100000
1612517420500000000,100000
1612517420600000000,100000
1612517420700000000,100000
1612517420800000000,100000
1612517420900000000,100000
1612517421000000000,100000
1612517421100000000,100000
1612517421200000000,100000
1612517421300000000,100000
1612517421400000000,100000
1612517421500000000,100000
1612517421600000000,100000
1612517421700000000,100000
1612517421800000000,100000
1612517421900000000,100000
1612517422000000000,100000
1612517422100000000,100000
1612517422200000000,100000
1612517422300000000,100000
1612517422400000000,100000
1612517422500000000,100000
1612517422600000000,100000
1612517422700000000,100000
1612517422800000000,100000
1612517422900000000,100000
1612517423000000000,100000
1612517423100000000,100000
1612517423200000000,100000
1612517423300000000,100000
1612517423400000000,100000
1612517423500000000,100000
1612517423600000000,100000
1612517423700000000,100000
1612517423800000000,100000
1612517423900000000,100000
1612517424000000000,100000
1612517424100000000,100000
1612517424200000000,100000
1612517424300000000,100000
1612517424400000000,100000
1612517424500000000,100000
1612517424600000000,100000
1612517424700000000,100000
1612517424800000000,100000
1612517424900000000,100000
1612517425000000000,100000
1612517425100000000,100000
1612517425200000000,100000
1612517425300000000,100000
1612517425400000000,100000
1612517425500000000,100000
1612517425600000000,100000
1612517425700000000,100000
1612517425800000000,100000
1612517425900000000,100000
1612517426000000000,100000
1612517426100000000,100000
1612517426200000000,100000
1612517426300000000,100000
1612517426400000000,100000
1612517426500000000,100000
1612517426600000000,100000
1612517426700000000,100000
1612517426800000000,100000
1612517426900000000,100000
1612517427000000000,100000
1612517427100000000,100000
1612517427200000000,100000
1612517427300000000,100000
1612517427400000000,100000
1612517427500000000,100000
1612517427600000000,100000
1612517427700000000,100000
1612517427800000000,100000
1612517427900000000,100000
1612517428000000000,100000
1612517428100000000,100000
1612517428200000000,100000
1612517428300000000,100000
1612517428400000000,100000
1612517428500000000,100000
1612517428600000000,100000
1612517428700000000,100000
1612517428800000000,100000
1612517428900000000,100000
1612517429000000000,100000
1612517429100000000,100000
1612517429200000000,100000
1612517429300000000,100000
1612517429400000000,100000
1612517429500000000,100000
1612517429600000000,100000
1612517429700000000,100000
1612517429800000000,100000
1612517429900000000,100000
1612517430000000000,100000
1612517430100000000,100000
1612517430200000000,100000
1612517430300000000,100000
1612517430400000000,100000
1612517430500000000,100000
1612517430600000000,100000
1612517430700000000,100000
1612517430800000000,100000
1612517430900000000,100000
1612517431000000000,100000
1612517431100000000,100000
1612517431200000000,100000
1612517431300000000,100000
1612517431400000000,100000
1612517431500000000,100000
1612517431600000000,100000
1612517431700000000,100000
1612517431800000000,100000
1612517431900000000,100000
1612517432000000000,100000
1612517432100000000,100000
1612517432200000000,100000
1612517432300000000,100000
1612517432400000000,100000
1612517432500000000,100000
1612517432600000000,100000
1612517432700000000,100000
1612517432800000000,100000
1612517432900000000,100000
1612517433000000000,100000
1612517433100000000,100000
1612517433200000000,100000
1612517433300000000,100000
1612517433400000000,100000
1612517433500000000,100000
1612517433600000000,100000
1612517433700000000,100000
1612517433800000000,100000
1612517433900000000,100000
1612517434000000000,100000
1612517434100000000,100000
1612517434200000000,100000
1612517434300000000,100000
1612517434400000000,100000
1612517434500000000,100000
1612517434600000000,100000
1612517434700000000,100000
1612517434800000000,100000
1612517434900000000,100000
1612517435000000000,100000
1612517435100000000,100000
1612517435200000000,100000
1612517435300000000,100000
1612517435400000000,100000
1612517435500000000,100000
1612517435600000000,100000
1612517435700000000,100000
1612517435800000000,100000
1612517435900000000,100000
1612517436000000000,100000
1612517436100000000,100000
1612517436200000000,100000
1612517436300000000,100000
1612517436400000000,100000
1612517436500000000,100000
1612517436600000000,100000
1612517436700000000,100000
1612517436800000000,100000
1612517436900000000,100000
1612517437000000000,100000
1612517437100000000,100000
1612517437200000000,100000
1612517437300000000,100000
1612517437400000000,100000
