Column1,EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,cash2,holdings,mark_to_marked_holdings,total_depot_value,profit
168,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,13699445,"{'CASH': 757693713, 'ABM': -7490}",9999963,-3699482,-37
177,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,19998500,"{'CASH': 757693713, 'ABM': -7490}",9999900,-9998600,-100
190,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,29797030,"{'CASH': 757693713, 'ABM': -7490}",9999802,-19797228,-198
199,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,29997000,"{'CASH': 757693713, 'ABM': -7490}",9999800,-19997200,-200
212,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,39995600,"{'CASH': 757693713, 'ABM': -7490}",9998600,-29997000,-1400
225,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,49993300,"{'CASH': 757693713, 'ABM': -7490}",10002100,-39991200,2100
234,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,56491805,"{'CASH': 757693713, 'ABM': -7490}",10002035,-46489770,2035
243,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,79986400,"{'CASH': 757693713, 'ABM': -7490}",10001800,-69984600,1800
256,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,89981800,"{'CASH': 757693713, 'ABM': -7490}",10017800,-79964000,17800
269,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,95379532,"{'CASH': 757693713, 'ABM': -7490}",10015400,-85364132,15400
279,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,99977600,"{'CASH': 757693713, 'ABM': -7490}",10015400,-89962200,15400
292,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,100477390,"{'CASH': 757693713, 'ABM': -7490}",10014495,-90462895,14495
305,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,104075806,"{'CASH': 757693713, 'ABM': -7490}",10017210,-94058596,17210
319,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,113270286,"{'CASH': 757693713, 'ABM': -7490}",10032266,-103238020,32266
329,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,114069806,"{'CASH': 757693713, 'ABM': -7490}",10032266,-104037540,32266
342,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,123564581,"{'CASH': 757693713, 'ABM': -7490}",10027061,-113537520,27061
351,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,124064306,"{'CASH': 757693713, 'ABM': -7490}",10027061,-114037245,27061
364,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,134058806,"{'CASH': 757693713, 'ABM': -7490}",10027061,-124031745,27061
377,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,136857294,"{'CASH': 757693713, 'ABM': -7490}",10025820,-126831474,25820
387,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,143953460,"{'CASH': 757693713, 'ABM': -7490}",10025820,-133927640,25820
396,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,144153352,"{'CASH': 757693713, 'ABM': -7490}",10025820,-134127532,25820
405,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,154048006,"{'CASH': 757693713, 'ABM': -7490}",10025820,-144022186,25820
418,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,158146120,"{'CASH': 757693713, 'ABM': -7490}",10014292,-148131828,14292
428,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,164043406,"{'CASH': 757693713, 'ABM': -7490}",10014292,-154029114,14292
437,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,170440590,"{'CASH': 757693713, 'ABM': -7490}",10014420,-160426170,14420
450,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,178436830,"{'CASH': 757693713, 'ABM': -7490}",10014340,-168422490,14340
459,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,178836642,"{'CASH': 757693713, 'ABM': -7490}",10014336,-168822306,14336
468,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,180435890,"{'CASH': 757693713, 'ABM': -7490}",10014320,-170421570,14320
481,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,181235514,"{'CASH': 757693713, 'ABM': -7490}",10016025,-171219489,16025
490,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,190431190,"{'CASH': 757693713, 'ABM': -7490}",10016025,-180415165,16025
503,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,197927965,"{'CASH': 757693713, 'ABM': -7490}",10008805,-187919160,8805
516,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,201526381,"{'CASH': 757693713, 'ABM': -7490}",10008769,-191517612,8769
526,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,207923565,"{'CASH': 757693713, 'ABM': -7490}",10008705,-197914860,8705
539,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,211222113,"{'CASH': 757693713, 'ABM': -7490}",10010685,-201211428,10685
548,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,217919165,"{'CASH': 757693713, 'ABM': -7490}",10010685,-207908480,10685
561,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,222816960,"{'CASH': 757693713, 'ABM': -7490}",10010636,-212806324,10636
570,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,227914665,"{'CASH': 757693713, 'ABM': -7490}",10010585,-217904080,10585
583,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,229713855,"{'CASH': 757693713, 'ABM': -7490}",10012765,-219701090,12765
597,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,239709155,"{'CASH': 757693713, 'ABM': -7490}",10014863,-229694292,14863
610,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,240408826,"{'CASH': 757693713, 'ABM': -7490}",10017161,-230391665,17161
623,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,247505134,"{'CASH': 757693713, 'ABM': -7490}",10026310,-237478824,26310
637,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,251502534,"{'CASH': 757693713, 'ABM': -7490}",10054742,-241447792,54742
651,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,252601698,"{'CASH': 757693713, 'ABM': -7490}",10086150,-242515548,86150
661,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,262594098,"{'CASH': 757693713, 'ABM': -7490}",10086150,-252507948,86150
670,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,271487334,"{'CASH': 757693713, 'ABM': -7490}",10086150,-261401184,86150
683,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,273385871,"{'CASH': 757693713, 'ABM': -7490}",10088766,-263297105,88766
692,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,281479634,"{'CASH': 757693713, 'ABM': -7490}",10088766,-271390868,88766
705,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,282279034,"{'CASH': 757693713, 'ABM': -7490}",10083334,-272195700,83334
718,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,291771909,"{'CASH': 757693713, 'ABM': -7490}",10083334,-281688575,83334
728,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,301764409,"{'CASH': 757693713, 'ABM': -7490}",10083334,-291681075,83334
737,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,302264034,"{'CASH': 757693713, 'ABM': -7490}",10083334,-292180700,83334
750,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,302363960,"{'CASH': 757693713, 'ABM': -7490}",10080410,-292283550,80410
759,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,312256634,"{'CASH': 757693713, 'ABM': -7490}",10080410,-302176224,80410
772,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,319251524,"{'CASH': 757693713, 'ABM': -7490}",10068104,-309183420,68104
782,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,322249334,"{'CASH': 757693713, 'ABM': -7490}",10068014,-312181320,68014
795,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,328844516,"{'CASH': 757693713, 'ABM': -7490}",10077386,-318767130,77386
805,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,332242034,"{'CASH': 757693713, 'ABM': -7490}",10077386,-322164648,77386
818,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,333141386,"{'CASH': 757693713, 'ABM': -7490}",10074162,-323067224,74162
831,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,341535254,"{'CASH': 757693713, 'ABM': -7490}",10077395,-331457859,77395
840,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,343134086,"{'CASH': 757693713, 'ABM': -7490}",10077395,-333056691,77395
849,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,349130186,"{'CASH': 757693713, 'ABM': -7490}",10077875,-339052311,77875
862,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,350329442,"{'CASH': 757693713, 'ABM': -7490}",10040552,-340288890,40552
871,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,351928450,"{'CASH': 757693713, 'ABM': -7490}",10040552,-341887898,40552
880,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,356825412,"{'CASH': 757693713, 'ABM': -7490}",10040552,-346784860,40552
893,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,364720119,"{'CASH': 757693713, 'ABM': -7490}",10054353,-354665766,54353
902,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,366818712,"{'CASH': 757693713, 'ABM': -7490}",10054332,-356764380,54332
915,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,368917284,"{'CASH': 757693713, 'ABM': -7490}",10061472,-358855812,61472
924,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,376811912,"{'CASH': 757693713, 'ABM': -7490}",10061472,-366750440,61472
937,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,379909773,"{'CASH': 757693713, 'ABM': -7490}",10065142,-369844631,65142
946,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,389902873,"{'CASH': 757693713, 'ABM': -7490}",10065142,-379837731,65142
956,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,399895973,"{'CASH': 757693713, 'ABM': -7490}",10065142,-389830831,65142
965,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,416784312,"{'CASH': 757693713, 'ABM': -7490}",10065142,-406719170,65142
978,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,426777112,"{'CASH': 757693713, 'ABM': -7490}",10081522,-416695590,81522
991,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,429575320,"{'CASH': 757693713, 'ABM': -7490}",10039794,-419535526,39794
1000,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,436770712,"{'CASH': 757693713, 'ABM': -7490}",10039722,-426730990,39722
1013,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,440868170,"{'CASH': 757693713, 'ABM': -7490}",10031141,-430837029,31141
1022,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,446764512,"{'CASH': 757693713, 'ABM': -7490}",10031082,-436733430,31082
