0,0,AGENT_TYPE,NoiseAgent,786,NoiseAgent,,,,,,,,,,,,,,,,,
1,0,STARTING_CASH,10000000,786,NoiseAgent,,,,,,,,,,,,,,,,,
2,1.61248E+18,HOLDINGS_UPDATED,,786,NoiseAgent,10000000,,,,,,29980600,,,,,,,,,,
3,0,BID_DEPTH,"[(99903, 114)]",786,NoiseAgent,,,,,,,,,,,,,,,,,
4,0,ASK_DEPTH,"[(99904, 79)]",786,NoiseAgent,,,,,,,,,,,,,,,,,
5,0,IMBALANCE,"[114, 79]",786,NoiseAgent,,,,,,,,,,,,,,,,,
6,0,ORDER_SUBMITTED,,786,NoiseAgent,,2/5/2021 10:23,ABM,200,Side.ASK,4872,,,99903,FALSE,FALSE,FALSE,FALSE,,,,
,,,,,,,,,,,,,,,,,,,,,,
8,0,ORDER_EXECUTED,,786,NoiseAgent,,2/5/2021 10:23,ABM,14,Side.ASK,4872,99903,,99903,FALSE,FALSE,FALSE,FALSE,,,,
9,0,HOLDINGS_UPDATED,,786,NoiseAgent,11398642,,,,,,,,,,,,,,-14,,
,,,,,,,,,,,,,,,,,,,,,,
11,0,ORDER_EXECUTED,,786,NoiseAgent,,2/5/2021 10:23,ABM,100,Side.ASK,4872,99903,,99903,FALSE,FALSE,FALSE,FALSE,,,,
12,0,HOLDINGS_UPDATED,,786,NoiseAgent,21388942,,,,,,,,,,,,,,-114,,
13,0,ORDER_ACCEPTED,,786,NoiseAgent,,2/5/2021 10:23,ABM,86,Side.ASK,4872,,,99903,FALSE,FALSE,FALSE,FALSE,,,,
,,,,,,,,,,,,,,,,,,,,,,
15,1.61252E+18,ORDER_EXECUTED,,786,NoiseAgent,,2/5/2021 10:23,ABM,86,Side.ASK,4872,99903,,99903,FALSE,FALSE,FALSE,FALSE,,,,
16,1.61252E+18,HOLDINGS_UPDATED,,786,NoiseAgent,29980600,,,,,,,,,,,,,,-200,,
17,1.61253E+18,FINAL_HOLDINGS,"{ ABM: -200, CASH: 29980600 }",786,NoiseAgent,,,,,,,,,,,,,,,,,
18,1.61253E+18,FINAL_CASH_POSITION,29980600,786,NoiseAgent,,,,,,,,,,,,,,,,,
19,1.61253E+18,MARK_TO_MARKET,-200 ABM @ 99863 == -19972600,786,NoiseAgent,,,,,,,,,,,,,,,,,
20,1.61253E+18,MARKED_TO_MARKET,10008000,786,NoiseAgent,,,,,,,,,,,,,,,,,
21,1.61253E+18,ENDING_CASH,10008000,786,NoiseAgent,,,,,,,,,,,,,,,,,
22,1.61253E+18,FINAL_VALUATION,1.9780793,786,NoiseAgent,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Variables,,,Algo Steps,,,,,,,
,,,,,,,,,,,Name,start.name,786,,,,,,,,,
,,,,,,,,-2,,,Holdings,H,-2,,1,-199807,,,,,,
,,,,,,,,,,,End Cash,"start.holdings[""CASH""]",29980600,,,,,,,,,
,,,-19980600,,,,,,,,Start Cash,start.starting_cash,10000000,,2,19780793,,,,,,
,,,-19972600,,,,,,,,Final Fundamental,rT,99903.5,,,,,,,,,
,,,80,,,,,,,,Surplus,-,1.9780793,,3,1.9780793,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,was ist H ?,Anzahl Holdings round -2 geteilt durch 100,10099903.5,,,,,,,,,
,,,,,,,,,,,was ist rT ?,"vom oracle individuell zurückgelieferte EOD mid price
wie bewertet sieht der agent EOD den kurs / würde weitere entscheidungen treffen",,,,,,,,,,
,,,,,,,,,,,,,,,1,-19980700,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2,-100,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,-0.00001,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1. Hat er gekauft oder verkauft (pos oder neg),,,,,,,,,,
,,,,,,,,,,,,2. Zu welchem kurs hat der die kauf oder verkauf order platziert,,,,,,,,,,
,,,,,,,,,,,,3. Welchen kurs beobachtet der agent am EOD,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
