EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,time_placed,symbol,quantity,side,order_id,fill_price,tag,limit_price,is_hidden,is_price_to_comply,insert_by_id,is_post_only,ABM
0,AGENT_TYPE,MomentumAgent,1105,MomentumAgent,,,,,,,,,,,,,,
0,STARTING_CASH,10000000,1105,MomentumAgent,,,,,,,,,,,,,,
1612483200000000000,HOLDINGS_UPDATED,,1105,MomentumAgent,10000000.0,,,,,,,,,,,,,
1612517438732119487,BID_DEPTH,[],1105,MomentumAgent,,,,,,,,,,,,,,
1612517438732119487,ASK_DEPTH,"[(99967, 66)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517438732119487,IMBALANCE,"[0, 66]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517467236041156,BID_DEPTH,"[(99976, 100)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517467236041156,ASK_DEPTH,"[(99981, 92)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517467236041156,IMBALANCE,"[100, 92]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517481220884479,BID_DEPTH,"[(99978, 100)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517481220884479,ASK_DEPTH,"[(99979, 80)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517481220884479,IMBALANCE,"[100, 80]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517492446943631,BID_DEPTH,"[(99976, 400)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517492446943631,ASK_DEPTH,"[(99979, 278)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517492446943631,IMBALANCE,"[400, 278]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517506785422282,BID_DEPTH,"[(99979, 122)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517506785422282,ASK_DEPTH,"[(99983, 200)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517506785422282,IMBALANCE,"[122, 200]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517611255981919,BID_DEPTH,"[(99976, 252)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517611255981919,ASK_DEPTH,"[(99978, 96)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517611255981919,IMBALANCE,"[252, 96]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517622719402671,BID_DEPTH,"[(99977, 22)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517622719402671,ASK_DEPTH,"[(99978, 86)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517622719402671,IMBALANCE,"[22, 86]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517626699926335,BID_DEPTH,"[(99979, 77)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517626699926335,ASK_DEPTH,"[(99980, 612)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517626699926335,IMBALANCE,"[77, 612]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517678532732120,BID_DEPTH,[],1105,MomentumAgent,,,,,,,,,,,,,,
1612517678532732120,ASK_DEPTH,"[(99975, 3)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517678532732120,IMBALANCE,"[0, 3]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517808260049478,BID_DEPTH,"[(99957, 392)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517808260049478,ASK_DEPTH,"[(99968, 87)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517808260049478,IMBALANCE,"[392, 87]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517833965427609,BID_DEPTH,"[(99966, 82)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517833965427609,ASK_DEPTH,"[(99967, 100)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517833965427609,IMBALANCE,"[82, 100]",1105,MomentumAgent,,,,,,,,,,,,,,
1612517843489877975,BID_DEPTH,"[(99968, 99)]",1105,MomentumAgent,,,,,,,,,,,,,,
