,EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,time_placed,symbol,quantity,side,order_id,fill_price,tag,limit_price,is_hidden,is_price_to_comply,insert_by_id,is_post_only,fee,ABM
158,1612519872702137357,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:11:12,ABM,100.0,Side.ASK,2994.0,99910.0,,99910.0,False,False,False,False,,
165,1612519876686675807,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:11:16,ABM,51.0,Side.ASK,2999.0,99910.0,,99910.0,False,False,False,False,,
169,1612519886299702780,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:11:16,ABM,100.0,Side.ASK,2999.0,99910.0,,99910.0,False,False,False,False,,
172,1612519887883908242,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:11:16,ABM,100.0,Side.ASK,2999.0,99910.0,,99910.0,False,False,False,False,,
175,1612519889471202299,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:11:16,ABM,100.0,Side.ASK,2999.0,99910.0,,99910.0,False,False,False,False,,
178,1612519900854145014,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:11:16,ABM,49.0,Side.ASK,2999.0,99910.0,,99910.0,False,False,False,False,,
185,1612519927384314133,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:12:07,ABM,58.0,Side.ASK,3140.0,99910.0,,99910.0,False,False,False,False,,
189,1612519929427564301,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:12:07,ABM,42.0,Side.ASK,3140.0,99910.0,,99910.0,False,False,False,False,,
196,1612519941242581268,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:12:21,ABM,33.0,Side.ASK,3156.0,99913.0,,99913.0,False,False,False,False,,
200,1612519944301536388,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:12:21,ABM,67.0,Side.ASK,3156.0,99913.0,,99913.0,False,False,False,False,,
207,1612519961718362581,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:12:41,ABM,49.0,Side.ASK,3198.0,99909.0,,99909.0,False,False,False,False,,
210,1612519961718362631,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:12:41,ABM,100.0,Side.ASK,3198.0,99909.0,,99909.0,False,False,False,False,,
213,1612519961718362681,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:12:41,ABM,1.0,Side.ASK,3198.0,99909.0,,99909.0,False,False,False,False,,
217,1612519961804435813,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:12:41,ABM,50.0,Side.ASK,3198.0,99909.0,,99909.0,False,False,False,False,,
224,1612519969851897317,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:12:49,ABM,100.0,Side.ASK,3207.0,99908.0,,99908.0,False,False,False,False,,
231,1612519974278791912,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:12:54,ABM,40.0,Side.ASK,3232.0,99908.0,,99908.0,False,False,False,False,,
234,1612519974278791962,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:12:54,ABM,60.0,Side.ASK,3232.0,99908.0,,99908.0,False,False,False,False,,
241,1612519987798541610,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:13:07,ABM,72.0,Side.ASK,3244.0,99909.0,,99909.0,False,False,False,False,,
244,1612519987798541660,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:13:07,ABM,28.0,Side.ASK,3244.0,99909.0,,99909.0,False,False,False,False,,
251,1612520036793256679,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:13:56,ABM,62.0,Side.ASK,3313.0,99914.0,,99914.0,False,False,False,False,,
259,1612520038090240202,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:13:58,ABM,8.0,Side.ASK,3315.0,99913.0,,99913.0,False,False,False,False,,
262,1612520038090240252,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:13:58,ABM,92.0,Side.ASK,3315.0,99913.0,,99913.0,False,False,False,False,,
265,0,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:13:56,ABM,38.0,Side.ASK,3313.0,99914.0,,99914.0,False,False,False,False,,
272,1612520081016254449,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:14:41,ABM,8.0,Side.ASK,3380.0,99912.0,,99912.0,False,False,False,False,,
275,1612520081016254499,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:14:41,ABM,92.0,Side.ASK,3380.0,99912.0,,99912.0,False,False,False,False,,
282,1612520090341289460,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:14:50,ABM,66.0,Side.ASK,3394.0,99912.0,,99912.0,False,False,False,False,,
286,1612520093307040475,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:14:50,ABM,51.0,Side.ASK,3394.0,99912.0,,99912.0,False,False,False,False,,
293,1612520121734512156,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:15:21,ABM,76.0,Side.ASK,3427.0,99913.0,,99913.0,False,False,False,False,,
300,1612520146821574580,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:15:46,ABM,10.0,Side.ASK,3477.0,99913.0,,99913.0,False,False,False,False,,
307,1612520155067748036,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:15:55,ABM,18.0,Side.ASK,3484.0,99913.0,,99913.0,False,False,False,False,,
314,1612520179766793395,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:16:19,ABM,100.0,Side.ASK,3525.0,99915.0,,99915.0,False,False,False,False,,
321,1612520251057947620,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:17:31,ABM,39.0,Side.ASK,3632.0,99917.0,,99917.0,False,False,False,False,,
328,1612520269877981579,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:17:49,ABM,29.0,Side.ASK,3646.0,99922.0,,99922.0,False,False,False,False,,
335,1612520290450514782,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:18:10,ABM,34.0,Side.ASK,3666.0,99924.0,,99924.0,False,False,False,False,,
339,1612520294786853334,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:18:10,ABM,66.0,Side.ASK,3666.0,99924.0,,99924.0,False,False,False,False,,
346,1612520320633366256,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:18:40,ABM,23.0,Side.ASK,3715.0,99928.0,,99928.0,False,False,False,False,,
350,1612520331401396030,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:18:40,ABM,77.0,Side.ASK,3715.0,99928.0,,99928.0,False,False,False,False,,
357,1612520363462956110,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:19:23,ABM,100.0,Side.ASK,3795.0,99925.0,,99925.0,False,False,False,False,,
364,1612520428733404487,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:20:28,ABM,5.0,Side.ASK,3908.0,99926.0,,99926.0,False,False,False,False,,
367,1612520428733404537,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:20:28,ABM,6.0,Side.ASK,3908.0,99926.0,,99926.0,False,False,False,False,,
370,1612520428733404587,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:20:28,ABM,89.0,Side.ASK,3908.0,99926.0,,99926.0,False,False,False,False,,
377,1612520467030001326,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:21:07,ABM,24.0,Side.ASK,3985.0,99925.0,,99925.0,False,False,False,False,,
380,1612520467030001376,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:21:07,ABM,43.0,Side.ASK,3985.0,99925.0,,99925.0,False,False,False,False,,
387,1612520559656338706,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:22:39,ABM,5.0,Side.ASK,4124.0,99919.0,,99919.0,False,False,False,False,,
390,1612520559656338756,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:22:39,ABM,57.0,Side.ASK,4124.0,99919.0,,99919.0,False,False,False,False,,
397,1612520581844582582,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:23:01,ABM,12.0,Side.ASK,4149.0,99918.0,,99918.0,False,False,False,False,,
404,1612520622425337612,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:23:42,ABM,88.0,Side.ASK,4208.0,99926.0,,99926.0,False,False,False,False,,
407,1612520622425337662,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:23:42,ABM,12.0,Side.ASK,4208.0,99926.0,,99926.0,False,False,False,False,,
414,1612520658121117842,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:24:18,ABM,27.0,Side.ASK,4288.0,99927.0,,99927.0,False,False,False,False,,
417,1612520658121117892,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:24:18,ABM,6.0,Side.ASK,4288.0,99927.0,,99927.0,False,False,False,False,,
424,1612520710684207310,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:25:10,ABM,100.0,Side.ASK,4341.0,99930.0,,99930.0,False,False,False,False,,
431,1612520735720500403,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:25:35,ABM,53.0,Side.ASK,4371.0,99936.0,,99936.0,False,False,False,False,,
434,1612520735720500453,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:25:35,ABM,47.0,Side.ASK,4371.0,99936.0,,99936.0,False,False,False,False,,
441,1612520835416415550,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:27:15,ABM,10.0,Side.BID,4596.0,99962.0,,99962.0,False,False,False,False,,
449,1612520845971077651,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:27:25,ABM,100.0,Side.BID,4605.0,99966.0,,99966.0,False,False,False,False,,
456,1612520851226624539,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:27:31,ABM,37.0,Side.BID,4613.0,99970.0,,99970.0,False,False,False,False,,
464,1612520858283352769,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:27:38,ABM,70.0,Side.BID,4624.0,99977.0,,99977.0,False,False,False,False,,
468,0,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:27:38,ABM,30.0,Side.BID,4624.0,99977.0,,99977.0,False,False,False,False,,
475,1612520865405139282,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:27:45,ABM,72.0,Side.BID,4675.0,99984.0,,99984.0,False,False,False,False,,
